text,label
brainstorm ways to optimize this process,brainstorm
help me come up with a unique selling proposition,brainstorm
brainstorm potential revenue streams,brainstorm
help me generate ideas for my research project,brainstorm
solve this math problem: 2x + 3 = 7,math
calculate the derivative of f(x) = x^2 + 3x + 2,math
solve this system of equations,math
help me with this calculus problem,math
calculate the probability of this event,math
solve this optimization problem,math
help me understand this statistical concept,math
calculate the eigenvalues of this matrix,math
solve this differential equation,math
help me with this linear algebra problem,math
calculate the confidence interval for this data,math
solve this geometry problem,math
help me understand this number theory concept,math
calculate the expected value of this random variable,math
solve this trigonometry problem,math
what are the ethical implications of ai in healthcare,ethics
discuss the ethics of data collection,ethics
ethical considerations in facial recognition,ethics
what are the ethical issues with autonomous weapons,ethics
discuss the ethics of algorithmic decision making,ethics
ethical considerations in genetic engineering,ethics
what are the ethical implications of social media algorithms,ethics
discuss the ethics of privacy in the digital age,ethics
ethical considerations in ai governance,ethics
what are the ethical issues with predictive policing,ethics
discuss the ethics of automation and job displacement,ethics
ethical considerations in biotech research,ethics
what are the ethical implications of deepfakes,ethics
discuss the ethics of surveillance technology,ethics
ethical considerations in content moderation,ethics
ollama status,ollama
ollama on,ollama
ollama off,ollama
enable offline mode,ollama
disable offline mode,ollama
toggle offline mode,ollama
ollama pull phi,ollama
check ollama status,ollama
is ollama running,ollama
start ollama service,ollama
stop ollama service,ollama
restart ollama,ollama
ollama models,ollama
check available ollama models,ollama
ollama pull llama,ollama
show personality,personality
adjust creativity to 0.8,personality
set formality to 0.2,personality
adjust humor to 0.9,personality
set technical level to 0.7,personality
adjust verbosity to 0.5,personality
show current personality traits,personality
reset personality to default,personality
make responses more casual,personality
adjust personality to be more professional,personality
set empathy level to high,personality
adjust personality to be more concise,personality
make responses more detailed,personality
set personality to be more creative,personality
adjust tone to be more friendly,personality
help,system
show commands,system
what can you do,system
exit,system
quit,system
system status,system
restart,system
launch cli ui,system
open dashboard,system
show interface,system
display ui,system
start cli,system
check system status,system
show system health,system
display vitals,system
search memory for project ideas,memory
save to memory: meeting with client tomorrow,memory
recall last conversation about docker,memory
show recent memories,memory
remember this code snippet,memory
forget conversation from yesterday,memory
search memory for python examples,memory
save this article to memory,memory
recall what we discussed about react,memory
show all memories related to project x,memory
remember this important deadline,memory
forget all conversations older than a month,memory
search memory for design patterns,memory
save this decision to memory,memory
recall our brainstorming session,memory
